CATEGORY,MCC
"A/C, Refrigeration Repair
ac_refrigeration_repair",7623
"Accounting/Bookkeeping Services
accounting_bookkeeping_services",8931
"Advertising Services
advertising_services",7311
"Agricultural Cooperative
agricultural_cooperative",763
"Airlines, Air Carriers Restricted
airlines_air_carriers",4511
"Airports, Flying Fields
airports_flying_fields",4582
"Ambulance Services Restricted
ambulance_services",4119
"Amusement Parks/Carnivals Restricted
amusement_parks_carnivals",7996
"Antique Reproductions
antique_reproductions",5937
"Antique Shops
antique_shops",5932
"Aquariums
aquariums",7998
"Architectural/Surveying Services
architectural_surveying_services",8911
"Art Dealers and Galleries
art_dealers_and_galleries",5971
"Artists Supply and Craft Shops
artists_supply_and_craft_shops",5970
"Auto Body Repair Shops
auto_body_repair_shops",7531
"Auto Paint Shops
auto_paint_shops",7535
"Auto Service Shops
auto_service_shops",7538
"Auto and Home Supply Stores
auto_and_home_supply_stores",5531
"Automated Fuel Dispensers
automated_fuel_dispensers",5542
"Automobile Associations
automobile_associations",8675
"Automotive Parts and Accessories Stores
automotive_parts_and_accessories_stores",5533
"Automotive Tire Stores
automotive_tire_stores",5532
"Bail and Bond Payments (payment to the surety for the bond, not the actual bond paid to the government agency) Restricted
bail_and_bond_payments",9223
"Bakeries
bakeries",5462
"Bands, Orchestras
bands_orchestras",7929
"Barber and Beauty Shops
barber_and_beauty_shops",7230
"Betting/Casino Gambling Restricted
betting_casino_gambling",7995
"Bicycle Shops
bicycle_shops",5940
"Billiard/Pool Establishments
billiard_pool_establishments",7932
"Boat Dealers
boat_dealers",5551
"Boat Rentals and Leases
boat_rentals_and_leases",4457
"Book Stores
book_stores",5942
"Books, Periodicals, and Newspapers
books_periodicals_and_newspapers",5192
"Bowling Alleys
bowling_alleys",7933
"Bus Lines
bus_lines",4131
"Business/Secretarial Schools
business_secretarial_schools",8244
"Buying/Shopping Services
buying_shopping_services",7278
"Cable, Satellite, and Other Pay Television and Radio
cable_satellite_and_other_pay_television_and_radio",4899
"Camera and Photographic Supply Stores
camera_and_photographic_supply_stores",5946
"Candy, Nut, and Confectionery Stores
candy_nut_and_confectionery_stores",5441
"Car Rental Agencies
car_rental_agencies",7512
"Car Washes
car_washes",7542
"Car and Truck Dealers (New & Used) Sales, Service, Repairs Parts and Leasing
car_and_truck_dealers_new_used",5511
"Car and Truck Dealers (Used Only) Sales, Service, Repairs Parts and Leasing
car_and_truck_dealers_used_only",5521
"Carpentry Services
carpentry_services",1750
"Carpet/Upholstery Cleaning
carpet_upholstery_cleaning",7217
"Caterers
caterers",5811
"Charitable and Social Service Organizations - Fundraising Restricted
charitable_and_social_service_organizations_fundraising",8398
"Chemicals and Allied Products (Not Elsewhere Classified)
chemicals_and_allied_products",5169
"Child Care Services
child_care_services",8351
"Childrens and Infants Wear Stores
childrens_and_infants_wear_stores",5641
"Chiropodists, Podiatrists Restricted
chiropodists_podiatrists",8049
"Chiropractors Restricted
chiropractors",8041
"Cigar Stores and Stands Restricted
cigar_stores_and_stands",5993
"Civic, Social, Fraternal Associations
civic_social_fraternal_associations",8641
"Cleaning and Maintenance
cleaning_and_maintenance",7349
"Clothing Rental
clothing_rental",7296
"Colleges, Universities
colleges_universities",8220
"Commercial Equipment (Not Elsewhere Classified)
commercial_equipment",5046
"Commercial Footwear
commercial_footwear",5139
"Commercial Photography, Art and Graphics
commercial_photography_art_and_graphics",7333
"Commuter Transport, Ferries
commuter_transport_and_ferries",4111
"Computer Network Services
computer_network_services",4816
"Computer Programming
computer_programming",7372
"Computer Repair
computer_repair",7379
"Computer Software Stores
computer_software_stores",5734
"Computers, Peripherals, and Software
computers_peripherals_and_software",5045
"Concrete Work Services
concrete_work_services",1771
"Construction Materials (Not Elsewhere Classified)
construction_materials",5039
"Consulting, Public Relations
consulting_public_relations",7392
"Correspondence Schools
correspondence_schools",8241
"Cosmetic Stores
cosmetic_stores",5977
"Counseling Services Restricted
counseling_services",7277
"Country Clubs
country_clubs",7997
"Courier Services
courier_services",4215
"Court Costs, Including Alimony and Child Support - Courts of Law Restricted
court_costs",9211
"Credit Reporting Agencies
credit_reporting_agencies",7321
"Cruise Lines Restricted
cruise_lines",4411
"Dairy Products Stores
dairy_products_stores",5451
"Dance Hall, Studios, Schools
dance_hall_studios_schools",7911
"Dentists, Orthodontists Restricted
dentists_orthodontists",8021
"Department Stores
department_stores",5311
"Detective Agencies
detective_agencies",7393
"Digital Goods Media – Books, Movies, Music
digital_goods_media",5815
"Digital Goods – Applications (Excludes Games)
digital_goods_applications",5817
"Digital Goods – Games
digital_goods_games",5816
"Digital Goods – Large Digital Goods Merchant
digital_goods_large_volume",5818
"Direct Marketing - Catalog Merchant
direct_marketing_catalog_merchant",5964
"Direct Marketing - Combination Catalog and Retail Merchant
direct_marketing_combination_catalog_and_retail_merchant",5965
"Direct Marketing - Inbound Telemarketing Restricted
direct_marketing_inbound_telemarketing",5967
"Direct Marketing - Insurance Services
direct_marketing_insurance_services",5960
"Direct Marketing - Other
direct_marketing_other",5969
"Direct Marketing - Outbound Telemarketing Restricted
direct_marketing_outbound_telemarketing",5966
"Direct Marketing - Subscription
direct_marketing_subscription",5968
"Direct Marketing - Travel Restricted
direct_marketing_travel",5962
"Discount Stores
discount_stores",5310
"Doctors Restricted
doctors",8011
"Door-To-Door Sales Restricted
door_to_door_sales",5963
"Drapery, Window Covering, and Upholstery Stores
drapery_window_covering_and_upholstery_stores",5714
"Drinking Places
drinking_places",5813
"Drug Stores and Pharmacies Restricted
drug_stores_and_pharmacies",5912
"Drugs, Drug Proprietaries, and Druggist Sundries Restricted
drugs_drug_proprietaries_and_druggist_sundries",5122
"Dry Cleaners
dry_cleaners",7216
"Durable Goods (Not Elsewhere Classified)
durable_goods",5099
"Duty Free Stores
duty_free_stores",5309
"Eating Places, Restaurants
eating_places_restaurants",5812
"Educational Services
educational_services",8299
"Electric Razor Stores
electric_razor_stores",5997
"Electric Vehicle Charging
electric_vehicle_charging",5552
"Electrical Parts and Equipment
electrical_parts_and_equipment",5065
"Electrical Services
electrical_services",1731
"Electronics Repair Shops
electronics_repair_shops",7622
"Electronics Stores
electronics_stores",5732
"Elementary, Secondary Schools
elementary_secondary_schools",8211
"Emergency Services (GCAS) (Visa use only)
emergency_services_gcas_visa_use_only",9702
"Employment/Temp Agencies
employment_temp_agencies",7361
"Equipment Rental
equipment_rental",7394
"Exterminating Services
exterminating_services",7342
"Family Clothing Stores
family_clothing_stores",5651
"Fast Food Restaurants
fast_food_restaurants",5814
"Financial Institutions Restricted
financial_institutions",6012
"Fines - Government Administrative Entities Restricted
fines_government_administrative_entities",9222
"Fireplace, Fireplace Screens, and Accessories Stores
fireplace_fireplace_screens_and_accessories_stores",5718
"Floor Covering Stores
floor_covering_stores",5713
"Florists
florists",5992
"Florists Supplies, Nursery Stock, and Flowers
florists_supplies_nursery_stock_and_flowers",5193
"Freezer and Locker Meat Provisioners
freezer_and_locker_meat_provisioners",5422
"Fuel Dealers (Non Automotive)
fuel_dealers_non_automotive",5983
"Funeral Services, Crematories
funeral_services_crematories",7261
"Furniture Repair, Refinishing
furniture_repair_refinishing",7641
"Furniture, Home Furnishings, and Equipment Stores, Except Appliances
furniture_home_furnishings_and_equipment_stores_except_appliances",5712
"Furriers and Fur Shops
furriers_and_fur_shops",5681
"General Services
general_services",1520
"Gift, Card, Novelty, and Souvenir Shops
gift_card_novelty_and_souvenir_shops",5947
"Glass, Paint, and Wallpaper Stores
glass_paint_and_wallpaper_stores",5231
"Glassware, Crystal Stores
glassware_crystal_stores",5950
"Golf Courses - Public
golf_courses_public",7992
